Country,Country_Code,Region,CPI_2012_Rank,CPI_2012_Score,CPI_2013_Rank,CPI_2013_Score,CPI_2014_Rank,CPI_2014_Score,CPI_2015_Rank,CPI_2015_Score,CPI_2016_Rank,CPI_2016_Score
Denmark,DNK,EU,1,90,1,91,1,92,1,91,1,90
Finland,FIN,EU,1,90,3,89,3,89,3,90,3,89
New Zealand,NZL,AP,1,90,1,91,2,91,1,91,1,90
Sweden,SWE,EU,4,88,3,89,4,87,4,89,4,88
Singapore,SGP,AP,5,87,5,86,7,84,7,85,7,84
Switzerland,CHE,EU,6,86,7,85,5,86,6,86,5,86
Australia,AUS,AP,7,85,9,81,11,80,13,79,13,79
Norway,NOR,EU,7,85,5,86,5,86,5,88,6,85
Canada,CAN,AM,9,84,9,81,10,81,10,83,9,82
Netherlands,NLD,EU,9,84,8,83,8,83,9,84,8,83
Iceland,ISL,EU,11,82,12,78,12,79,13,79,14,78
Luxembourg,LUX,EU,12,80,11,80,9,82,7,85,10,81
Germany,DEU,EU,13,79,12,78,12,79,11,81,10,81
Hong Kong,HKG,AP,14,77,15,75,17,74,18,75,15,77
Belgium,BEL,EU,16,75,15,75,15,76,15,77,15,77
Japan,JPN,AP,17,74,18,74,15,76,18,75,20,72
United Kingdom,GBR,EU,17,74,14,76,14,78,11,81,10,81
United States,USA,AM,19,73,19,73,17,74,16,76,18,74
Chile,CHL,AM,20,72,22,71,21,73,23,70,24,66
Uruguay,URY,AM,20,72,19,73,21,73,21,74,21,71
France,FRA,EU,22,71,22,71,27,69,23,70,23,69
Austria,AUT,EU,25,69,26,69,23,72,16,76,17,75
Ireland,IRL,EU,25,69,21,72,17,74,18,75,19,73
Qatar,QAT,ME,27,68,28,68,27,69,22,71,31,61
United Arab Emirates,ARE,ME,27,68,26,69,26,70,23,70,24,66
Cyprus,CYP,EU,29,66,31,63,31,63,32,61,47,55
Botswana,BWA,AF,30,65,30,64,31,63,29,63,35,60
Spain,ESP,EU,30,65,40,59,38,60,37,58,41,58
Estonia,EST,EU,32,64,28,68,27,69,23,70,22,70
Bhutan,BTN,AP,33,63,31,63,30,65,27,65,27,65
Portugal,PRT,EU,33,63,33,62,31,63,28,64,29,62
Slovenia,SVN,EU,37,61,43,57,40,58,34,60,31,61
Taiwan,TWN,AP,37,61,36,61,36,61,31,62,31,61
Cape Verde,CPV,AF,39,60,41,58,43,57,40,55,38,59
Israel,ISR,ME,39,60,36,61,38,60,32,61,28,64
Poland,POL,EU,41,58,38,60,36,61,29,63,29,62
Malta,MLT,EU,43,57,45,56,44,55,34,60,47,55
Mauritius,MUS,AF,43,57,52,52,48,54,45,53,50,54
Korea (South),KOR,AP,45,56,46,55,44,55,43,54,52,53
Hungary,HUN,EU,46,55,47,54,48,54,50,51,57,48
Costa Rica,CRI,AM,48,54,49,53,48,54,40,55,41,58
Lithuania,LTU,EU,48,54,43,57,40,58,36,59,38,59
Rwanda,RWA,AF,50,53,49,53,55,49,43,54,50,54
Georgia,GEO,EE,51,52,55,49,51,52,48,52,44,57
Bahrain,BHR,ME,53,51,57,48,55,49,50,51,70,43
Czech Republic,CZE,EU,54,49,57,48,53,51,38,56,47,55
Latvia,LVA,EU,54,49,49,53,44,55,38,56,44,57
Malaysia,MYS,AP,54,49,53,50,51,52,54,50,55,49
Turkey,TUR,EE,54,49,53,50,64,45,66,42,75,41
Cuba,CUB,AM,58,48,63,46,63,46,56,47,60,47
Jordan,JOR,ME,58,48,66,45,55,49,45,53,57,48
Namibia,NAM,AF,58,48,57,48,55,49,45,53,53,52
Oman,OMN,ME,61,47,61,47,64,45,60,45,64,45
Croatia,HRV,EU,62,46,57,48,61,48,50,51,55,49
Slovakia,SVK,EU,62,46,61,47,54,50,50,51,54,51
Ghana,GHA,AF,64,45,63,46,61,48,56,47,70,43
Lesotho,LSO,AF,64,45,55,49,55,49,61,44,83,39
Kuwait,KWT,ME,66,44,69,43,67,44,55,49,75,41
Romania,ROM,EU,66,44,69,43,69,43,58,46,57,48
Saudi Arabia,SAU,ME,66,44,63,46,55,49,48,52,62,46
Brazil,BRA,AM,69,43,72,42,69,43,76,38,79,40
Macedonia,MKD,EE,69,43,67,44,64,45,66,42,90,37
South Africa,ZAF,AF,69,43,72,42,67,44,61,44,64,45
Bosnia and Herzegovina,BIH,EE,72,42,72,42,80,39,76,38,83,39
Italy,ITA,EU,72,42,69,43,69,43,61,44,60,47
Sao Tome and Principe,STP,AF,72,42,72,42,76,42,66,42,62,46
Bulgaria,BGR,EU,75,41,77,41,69,43,69,41,75,41
Liberia,LBR,AF,75,41,83,38,94,37,83,37,90,37
Montenegro,MON,EE,75,41,67,44,76,42,61,44,64,45
Tunisia,TUN,ME,75,41,77,41,79,40,76,38,75,41
Sri Lanka,LKA,AP,79,40,91,37,85,38,83,37,95,36
China,CHN,AP,80,39,80,40,100,36,83,37,79,40
Serbia,SCG,EE,80,39,72,42,78,41,71,40,72,42
Trinidad and Tobago,TTO,AM,80,39,83,38,85,38,72,39,101,35
Burkina Faso,BFA,AF,83,38,83,38,85,38,76,38,72,42
El Salvador,SLV,AM,83,38,83,38,80,39,72,39,95,36
Jamaica,JAM,AM,83,38,83,38,85,38,69,41,83,39
Panama,PAN,AM,83,38,102,35,94,37,72,39,87,38
Peru,PER,AM,83,38,83,38,85,38,88,36,101,35
Malawi,MWI,AF,88,37,91,37,110,33,111,31,120,31
Morocco,MAR,ME,88,37,91,37,80,39,88,36,90,37
Suriname,SUR,AM,88,37,94,36,100,36,88,36,64,45
Thailand,THA,AP,88,37,102,35,85,38,76,38,101,35
Zambia,ZMB,AF,88,37,83,38,85,38,76,38,87,38
Benin,BEN,AF,94,36,94,36,80,39,83,37,95,36
Colombia,COL,AM,94,36,94,36,94,37,83,37,90,37
Djibouti,DJI,AF,94,36,94,36,107,34,98,34,123,30
Greece,GRC,EU,94,36,80,40,69,43,58,46,69,44
India,IND,AP,94,36,94,36,85,38,76,38,79,40
Moldova,MDA,EE,94,36,102,35,103,35,102,33,123,30
Mongolia,MNG,AP,94,36,83,38,80,39,72,39,87,38
Senegal,SEN,AF,94,36,77,41,69,43,61,44,64,45
Argentina,ARG,AM,102,35,106,34,107,34,106,32,95,36
Gabon,GAB,AF,102,35,106,34,94,37,98,34,101,35
Tanzania,TZA,AF,102,35,111,33,119,31,117,30,116,32
Algeria,DZA,ME,105,34,94,36,100,36,88,36,108,34
Armenia,ARM,EE,105,34,94,36,94,37,95,35,113,33
Bolivia,BOL,AM,105,34,106,34,103,35,98,34,113,33
Gambia,GMB,AF,105,34,127,28,126,29,123,28,145,26
Kosovo,LWI,EE,105,34,111,33,110,33,102,33,95,36
Mali,MLI,AF,105,34,127,28,115,32,95,35,116,32
Mexico,MEX,AM,105,34,106,34,103,35,111,31,123,30
Philippines,PHL,AP,105,34,94,36,85,38,95,35,101,35
Albania,ALB,EE,113,33,116,31,110,33,88,36,83,39
Ethiopia,ETH,AF,113,33,111,33,110,33,102,33,108,34
Guatemala,GTM,AM,113,33,123,29,115,32,123,28,136,28
Niger,NER,AF,113,33,106,34,103,35,98,34,101,35
Timor-Leste,TLS,AP,113,33,119,30,133,28,123,28,101,35
Dominican Republic,DOM,AM,118,32,123,29,115,32,102,33,120,31
Ecuador,ECU,AM,118,32,102,35,110,33,106,32,120,31
Egypt,EGY,ME,118,32,114,32,94,37,88,36,108,34
Indonesia,IDN,AP,118,32,114,32,107,34,88,36,90,37
Madagascar,MDG,AF,118,32,127,28,133,28,123,28,145,26
Belarus,BLR,EE,123,31,123,29,119,31,106,32,79,40
Mauritania,MRT,AF,123,31,119,30,124,30,111,31,142,27
Mozambique,MOZ,AF,123,31,119,30,119,31,111,31,142,27
Sierra Leone,SLE,AF,123,31,119,30,119,31,119,29,123,30
Vietnam,VNM,AP,123,31,116,31,119,31,111,31,113,33
Lebanon,LBN,ME,128,30,127,28,136,27,123,28,136,28
Togo,TGO,AF,128,30,123,29,126,29,106,32,116,32
Côte d´Ivoire,CIV,AF,130,29,136,27,115,32,106,32,108,34
Nicaragua,NIC,AM,130,29,127,28,133,28,130,27,145,26
Uganda,UGA,AF,130,29,140,26,142,26,139,25,151,25
Comoros,COM,AF,133,28,127,28,142,26,136,26,153,24
Guyana,GUY,AM,133,28,136,27,124,30,119,29,108,34
Honduras,HND,AM,133,28,140,26,126,29,111,31,123,30
Iran,IRN,ME,133,28,144,25,136,27,130,27,131,29
Kazakhstan,KAZ,EE,133,28,140,26,126,29,123,28,131,29
Russia,RUS,EE,133,28,127,28,136,27,119,29,131,29
Azerbaijan,AZE,EE,139,27,127,28,126,29,119,29,123,30
Kenya,KEN,AF,139,27,136,27,145,25,139,25,145,26
Nepal,NPL,AP,139,27,116,31,126,29,130,27,131,29
Nigeria,NGA,AF,139,27,144,25,136,27,136,26,136,28
Pakistan,PAK,AP,139,27,127,28,126,29,117,30,116,32
Bangladesh,BGD,AP,144,26,136,27,145,25,139,25,145,26
Cameroon,CMR,AF,144,26,144,25,136,27,130,27,145,26
Central African Republic,CAF,AF,144,26,144,25,150,24,145,24,159,20
Congo Republic,COG,AF,144,26,154,22,152,23,146,23,159,20
Syria,SYR,ME,144,26,168,17,159,20,154,18,173,13
Ukraine,UKR,EE,144,26,144,25,142,26,130,27,131,29
Eritrea,ERI,AF,150,25,160,20,166,18,154,18,164,18
Guinea-Bissau,GNB,AF,150,25,163,19,161,19,158,17,168,16
Papua New Guinea,PNG,AP,150,25,144,25,145,25,139,25,136,28
Paraguay,PRY,AM,150,25,150,24,150,24,130,27,123,30
Guinea,GIN,AF,154,24,150,24,145,25,139,25,142,27
Kyrgyzstan,KGZ,EE,154,24,150,24,136,27,123,28,136,28
Yemen,YEM,ME,156,23,167,18,161,19,154,18,170,14
Angola,AGO,AF,157,22,153,23,161,19,163,15,164,18
Cambodia,KHM,AP,157,22,160,20,156,21,150,21,156,21
Tajikistan,TJK,EE,157,22,154,22,152,23,136,26,151,25
Democratic Republic of the Congo,COD,AF,160,21,154,22,154,22,147,22,156,21
Laos,LAO,AP,160,21,140,26,145,25,139,25,123,30
Libya,LBY,ME,160,21,172,15,166,18,161,16,170,14
Zimbabwe,ZWE,AF,163,20,157,21,156,21,150,21,154,22
Burundi,BDI,AF,165,19,157,21,159,20,150,21,159,20
Chad,TCD,AF,165,19,163,19,154,22,147,22,159,20
Haiti,HTI,AM,165,19,163,19,161,19,158,17,159,20
Venezuela,VEN,AM,165,19,160,20,161,19,158,17,166,17
Iraq,IRQ,ME,169,18,171,16,170,16,161,16,166,17
Turkmenistan,TKM,EE,170,17,168,17,169,17,154,18,154,22
Uzbekistan,UZB,EE,170,17,168,17,166,18,153,19,156,21
Myanmar,MMR,AP,172,15,157,21,156,21,147,22,136,28
Sudan,SDN,ME,173,13,174,11,173,11,165,12,170,14
Afghanistan,AFG,AP,174,8,175,8,172,12,166,11,169,15
Korea (North),PRK,AP,174,8,175,8,174,8,167,8,174,12
Somalia,SOM,AF,174,8,175,8,174,8,167,8,176,10